"event","experiment time","system time","system time text"
"START",0.000000000E0,1714752487.880,"2024-05-03 18:08:07.880 UTC+02:00"
"PAUSE",1.950892726E2,1714752682.969,"2024-05-03 18:11:22.969 UTC+02:00"
