"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.588806170E-1,-2.155857086E-1,-1.180057526E-1,-1.246094704E-1
1.777080130E-1,-1.500802040E-1,-1.414332390E-1,4.719209671E-2
1.965354090E-1,-2.094628811E-1,-1.635866165E-1,1.984267235E-1
2.153628050E-1,-2.544400692E-1,-1.757283211E-1,2.074861526E-1
2.341902010E-1,-2.313811779E-1,-1.987223625E-1,2.114243507E-1
2.530175960E-1,-2.224581242E-1,-1.388387680E-1,1.353249550E-1
2.718449400E-1,-2.298285961E-1,-5.982112885E-2,1.041884422E-1
2.906723360E-1,-2.044973373E-1,-2.182197571E-2,9.240531921E-2
3.094997320E-1,-1.933975220E-1,-4.971742630E-2,8.627796173E-2
3.283271280E-1,-1.901619434E-1,-3.359270096E-2,9.572649002E-2
3.471545230E-1,-1.462216377E-1,-1.724147797E-2,1.024837494E-1
3.659818670E-1,-1.255571842E-1,-4.068517685E-2,9.639549255E-2
3.848092630E-1,-3.892350197E-2,-9.369325638E-2,6.286668777E-2
4.036366590E-1,-5.072879791E-2,-6.868886948E-2,1.142692566E-2
4.224640550E-1,-6.763696671E-3,-4.665756226E-2,-2.430915833E-2
4.412914510E-1,2.312803268E-2,-9.510660172E-2,-1.802015305E-2
4.601188460E-1,2.921295166E-2,-5.820322037E-2,2.197456360E-2
4.789461900E-1,2.023625374E-2,-1.144123077E-2,3.742694855E-2
4.977735860E-1,9.036350250E-2,3.593254089E-2,6.044149399E-2
5.166009820E-1,1.711516380E-1,2.459049225E-3,-7.714271545E-3
5.354283780E-1,9.671545029E-2,1.072502136E-2,-2.647447586E-2
5.542557730E-1,1.238915920E-1,3.163242340E-2,-3.948879242E-2
5.730831690E-1,2.209639549E-1,4.901552200E-2,3.620910645E-2
5.919105650E-1,4.579570293E-1,1.564741135E-2,1.380362511E-1
6.107379090E-1,8.370022774E-1,1.821866035E-1,1.852402687E-1
6.295653050E-1,9.710488319E-1,7.373857498E-2,3.763217926E-1
6.483927010E-1,6.279172897E-1,-1.847429276E-1,1.925215721E-1
6.672200960E-1,8.375539780E-1,-1.822013855E-1,8.790302277E-2
6.860474920E-1,8.204367161E-1,-2.750778198E-1,1.264505386E-1
7.048748880E-1,5.521583557E-1,-4.135179520E-2,2.676835060E-1
7.237022840E-1,1.600846052E0,8.106551170E-1,1.339055538E0
7.425165550E-1,2.193813801E0,2.574648857E-1,1.149517536E0
7.613570760E-1,1.080828905E0,1.633078098E0,3.658185005E-1
7.801844190E-1,-1.177730560E-1,2.377176285E-2,-4.542005062E-1
7.990118150E-1,-5.590333939E-1,2.507147789E-1,-7.923946381E-1
8.178392110E-1,-9.988217354E-1,2.215738297E-1,-4.508037567E-1
8.366666070E-1,-8.800382614E-1,2.932548523E-2,-1.050405502E-1
8.554940030E-1,-2.322340012E-1,-6.379318237E-2,2.850799561E-1
8.743213980E-1,5.912921429E-1,-2.177276611E-1,5.643315315E-1
8.931487940E-1,1.405272245E0,-2.629961967E-1,5.715565681E-1
9.119761900E-1,2.009174824E0,-3.860187531E-1,4.436774254E-1
9.308035860E-1,2.103199005E0,-1.647205353E-1,-5.158424377E-2
9.496309820E-1,1.778771043E0,1.276350021E-1,-9.073088169E-1
9.684583260E-1,1.433194876E0,3.166408539E-1,-1.619657040E0
