"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.589931855E0,2.580826283E-1,1.234728813E0,-7.827262878E-1
1.608758157E0,-1.360943317E0,5.567579269E-1,-2.185003757E0
1.627584460E0,-2.418710709E0,-3.743457794E-2,-3.573794127E0
1.646410762E0,-2.695849895E0,-3.144598007E-1,-4.919601917E0
1.665237064E0,-2.005744219E0,-9.054560661E-1,-5.622399807E0
1.684063366E0,-8.231701851E-1,-5.909514427E-1,-6.491794586E0
1.702876543E0,4.370260239E-1,-8.946485519E-1,-6.919605255E0
1.721715970E0,1.766872883E0,-1.383267403E0,-4.883193016E0
1.740542272E0,2.009522915E0,7.853126526E-2,-3.647878647E0
1.759355449E0,1.491539001E0,3.283576965E-1,-2.220411062E0
1.778194876E0,1.363219976E0,5.224361420E-1,-8.387589455E-1
1.797021178E0,1.466316938E0,2.736959457E-1,-2.579531670E-1
1.815847480E0,9.263011217E-1,-2.335462570E-1,1.218841076E-1
1.834673782E0,4.067578316E-1,-5.177659988E-1,-3.369252682E-1
1.853500085E0,-7.835550308E-1,-5.218505859E-3,-1.008574009E0
1.872313314E0,-2.375526667E0,-2.884101868E-2,-2.017198086E0
1.891152741E0,-3.283497095E0,1.926765442E-1,-1.905983329E0
1.909978991E0,-2.438301325E0,4.422273636E-1,-2.096941471E-1
1.928792220E0,-6.690261364E-1,5.141181946E-1,1.012557745E0
1.947631647E0,6.239064932E-1,8.181133270E-1,1.679647923E0
1.966457949E0,7.013376951E-1,1.121564865E0,1.499512434E0
1.985284251E0,1.578259468E-2,8.499145508E-1,8.558998108E-1
2.004110553E0,-3.045382500E-1,7.036066055E-1,6.739578247E-1
2.022936855E0,1.633317471E-1,2.835264206E-1,5.832984447E-1
2.041763157E0,5.279424191E-1,5.285453796E-2,3.290867805E-1
2.060589460E0,2.362842560E-1,1.824541092E-1,-2.390222549E-1
2.079415762E0,2.602162361E-1,2.594861984E-1,-6.992737055E-1
2.098242116E0,9.698551893E-1,4.334812164E-1,-5.107498169E-1
2.117068418E0,1.719637156E0,4.752025604E-1,-6.456375122E-2
2.135894720E0,2.107006550E0,9.400606155E-1,2.775137424E-1
2.154721022E0,1.652497768E0,1.054147720E0,8.472204208E-3
2.173547324E0,8.126865625E-1,9.188804626E-1,-1.237830639E0
2.192373626E0,3.756595850E-1,1.062635422E0,-1.968778133E0
2.211199928E0,5.428087711E-1,1.218205452E0,-1.719602466E0
2.230026230E0,9.823790789E-1,1.184002876E0,-1.148501515E0
2.248852585E0,1.182174683E0,1.071583748E0,-1.051821709E0
2.267678887E0,1.035063386E0,7.792692184E-1,-1.362842441E0
2.286505189E0,7.494350672E-1,3.038721085E-1,-1.529306889E0
2.305331491E0,2.821829319E-1,-1.767730713E-2,-1.560912490E0
2.324157793E0,-6.923866272E-2,-1.576938629E-1,-1.656526446E0
2.342984095E0,-1.369178295E-1,-4.439754486E-1,-1.726956844E0
2.361810397E0,-2.392303944E-1,-5.604219437E-1,-1.709018111E0
2.380636751E0,-3.045202494E-1,-3.980369568E-1,-1.651614428E0
2.399463053E0,-4.767664671E-1,-3.247652054E-1,-1.376163602E0
2.418289355E0,-5.720881224E-1,-7.394123077E-2,-9.420800209E-1
2.437115657E0,-3.015505075E-1,5.833435059E-2,-4.651482105E-1
2.455941960E0,-5.698919296E-3,1.965417862E-1,1.249742508E-2
2.474768314E0,7.808208466E-3,2.477388382E-1,2.608048916E-1
2.493594616E0,-1.169394255E-1,2.844533920E-1,5.746862888E-1
2.512420918E0,-4.002441168E-1,1.036396027E-1,7.318751812E-1
