"event","experiment time","system time","system time text"
"START",0.000000000E0,1714758516.827,"2024-05-03 19:48:36.827 UTC+02:00"
"PAUSE",1.040019001E2,1714758620.829,"2024-05-03 19:50:20.829 UTC+02:00"
