"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.438630220E0,8.296670914E-1,1.622597694E0,-1.492596865E0
1.457456574E0,-1.585150242E0,2.136722565E0,-1.226501465E-1
1.476282928E0,-3.435356140E0,1.957002640E0,2.806644440E-1
1.495109335E0,-3.203454018E0,1.470323086E0,-8.977603912E-2
1.513935689E0,-1.763347626E0,1.177811146E0,-1.490952969E0
1.532762043E0,-6.457910538E-1,1.208478451E0,-2.028650522E0
1.551588397E0,5.186986923E-2,1.388604164E0,-1.426982403E0
1.570414751E0,5.683178902E-1,6.805291176E-1,-1.913419485E0
1.589241105E0,-1.797919273E-1,5.736732483E-2,-1.480255127E0
1.608067460E0,-1.107377529E0,2.393579483E-2,-9.694383144E-1
1.626893814E0,-1.274167776E0,6.433916092E-2,-1.155498981E0
1.645720168E0,-9.441347122E-1,4.243144989E-1,-4.731421471E-1
1.664546522E0,-5.105113983E-1,-1.166667938E-1,-1.104111671E-1
1.683372876E0,-3.744094372E-1,-3.959293365E-1,-3.174133301E-1
1.702199282E0,-7.011764050E-1,-2.519044876E-1,-3.292381763E-1
1.721025637E0,-1.172896862E0,4.435768127E-1,-5.773766041E-1
1.739851991E0,-1.167097092E0,9.388399124E-1,-1.095860004E0
1.758678345E0,-9.005110264E-1,1.034366608E0,-1.739304304E0
1.777504699E0,-1.120842457E0,1.385253906E0,-1.565129757E0
1.796331053E0,-1.465330958E0,1.747574806E0,-1.350814581E0
1.815157407E0,-1.385882616E0,1.959543228E0,-1.680767298E0
1.833983762E0,-1.428956032E0,2.266884804E0,-1.320934296E0
1.852810116E0,-1.296765327E0,2.479006767E0,-6.091842651E-1
1.871636522E0,-4.411034584E-1,1.700002670E0,-4.231462479E-1
1.890462876E0,1.410241425E-1,-4.323577881E-1,-2.679264545E-1
1.909289230E0,-1.407864690E-2,-1.988055229E0,2.530839443E-1
1.928115585E0,-4.562051892E-1,-1.699010849E0,1.283510923E0
1.946941939E0,4.036965966E-2,9.797286987E-2,2.153216362E0
1.965768293E0,7.580440640E-1,2.193880081E0,2.119604588E0
1.984594647E0,1.252169371E0,2.848260880E0,1.900853634E0
2.003421001E0,1.481575131E0,2.950762749E0,1.707129478E0
2.022247355E0,1.533570886E0,2.093070984E0,1.355478048E0
2.041060637E0,1.591247559E0,1.018915176E-1,9.997332096E-1
2.059900116E0,1.453018665E0,-1.148108482E0,8.350143433E-1
2.078726470E0,1.421553731E0,-1.951042652E0,6.942563057E-1
2.097552824E0,1.789563537E0,-2.046942234E0,1.229348183E0
2.116379178E0,2.550266981E0,-1.516556740E0,2.518278599E0
2.135205532E0,2.806777716E0,-1.557465076E0,1.733865738E0
2.154031887E0,1.774905682E0,-1.154706001E0,2.546441555E-1
2.172858241E0,1.649802625E-1,-3.150167465E-1,-8.146171570E-1
2.191684647E0,-7.360799909E-1,-5.476188660E-2,-1.336871862E0
2.210511001E0,-2.770119607E-1,-3.126010895E-1,-1.139497042E0
2.229337355E0,5.952931643E-1,-3.553991318E-1,-2.967081070E-1
2.248163710E0,1.018275976E0,-2.968978882E-1,8.712203503E-1
2.266990064E0,8.563772440E-1,-3.848361969E-2,1.120616198E0
2.285816418E0,1.084022075E-1,2.074146271E-2,1.051153660E0
2.304642772E0,-5.666961670E-1,-4.311847687E-1,7.898609638E-1
2.323469178E0,-6.841338873E-1,-1.400449753E0,5.598533154E-1
2.342295532E0,-4.800781608E-1,-1.964806080E0,1.542654037E-1
2.361121887E0,-3.523632288E-1,-1.425163746E0,-1.925387383E-1
2.379948241E0,-4.861401320E-1,-8.546161652E-2,-3.758072853E-1
2.398774595E0,-7.639399767E-1,1.540611267E0,-9.501378536E-1
2.417600949E0,-8.239879608E-1,2.949373245E0,-1.737439632E0
2.436427355E0,-7.297432423E-1,4.236727715E0,-2.184857368E0
2.455253710E0,-2.967287898E-1,4.475865364E0,-2.241697550E0
2.474080064E0,-1.490893215E-2,3.448635101E0,-2.111555815E0
2.492893293E0,3.565960526E-1,1.539582253E0,-1.685508013E0
2.511732772E0,3.084327281E-1,-7.970714569E-2,-9.757514000E-1
2.530559126E0,-5.412573218E-1,-1.352107525E0,-7.834861279E-1
2.549385532E0,-1.663590312E0,-1.808315277E0,-8.212237358E-1
2.568211887E0,-1.911340952E0,-1.689895153E0,-4.364011288E-1
2.587038241E0,-9.814144969E-1,-1.337012768E0,-1.288871765E-1
2.605864595E0,-1.693739146E-1,-9.218559265E-1,1.218390465E-1
2.624691001E0,1.950132251E-1,-5.982055664E-1,2.426345348E-1
2.643517355E0,2.206103206E-1,-3.945970535E-1,1.090948582E-1
2.662343710E0,-6.249395013E-2,7.646369934E-2,-2.693531513E-1
