"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.057163230E-1,-3.308077335E0,7.399205685E0,5.116453171E0
2.080695520E-1,-3.303291559E0,7.418348312E0,5.115854740E0
2.104227810E-1,-3.313461065E0,7.418348312E0,5.139782906E0
2.127760100E-1,-3.299104214E0,7.451848030E0,5.125426292E0
2.151292390E-1,-3.285345554E0,7.451848030E0,5.164309502E0
2.174825210E-1,-3.281157970E0,7.456633568E0,5.173880577E0
2.198357500E-1,-3.252444267E0,7.466803074E0,5.140381336E0
2.221889790E-1,-3.243471146E0,7.442874908E0,5.203192711E0
2.245422080E-1,-3.224328518E0,7.424330235E0,5.199005604E0
2.268954370E-1,-3.186641455E0,7.438687325E0,5.194219589E0
2.292486660E-1,-3.201596737E0,7.491329670E0,5.217549801E0
2.316018960E-1,-3.168097258E0,7.477570534E0,5.203791142E0
2.339551250E-1,-3.130410194E0,7.506284714E0,5.190032482E0
2.363083540E-1,-3.107080221E0,7.492526054E0,5.224130154E0
2.386616350E-1,-3.078366280E0,7.506882668E0,5.224130154E0
2.410148640E-1,-3.045464993E0,7.527221680E0,5.224728107E0
2.433680940E-1,-3.040679455E0,7.522436142E0,5.224728107E0
2.457213230E-1,-3.011965513E0,7.507481098E0,5.206183910E0
2.480745520E-1,-3.002394199E0,7.527221680E0,5.187041283E0
2.504277810E-1,-3.026322365E0,7.507481098E0,5.200799942E0
2.527810100E-1,-3.006581545E0,7.497909546E0,5.158327579E0
2.551342390E-1,-3.016152859E0,7.526623726E0,5.162514687E0
2.574874690E-1,-3.025724173E0,7.526623726E0,5.148158073E0
2.598406980E-1,-3.025125980E0,7.531409264E0,5.119443893E0
2.621939790E-1,-3.034697294E0,7.555337429E0,5.128417015E0
2.645472080E-1,-3.073580742E0,7.607381344E0,5.137390137E0
2.669004370E-1,-3.073580742E0,7.602595806E0,5.127819061E0
2.692536660E-1,-3.077768087E0,7.607381344E0,5.113461971E0
2.716068960E-1,-3.072982550E0,7.607381344E0,5.094319344E0
2.739601250E-1,-3.068196774E0,7.607381344E0,5.113461971E0
2.763133540E-1,-3.058625460E0,7.593024254E0,5.099104881E0
2.786665830E-1,-3.068196774E0,7.583453178E0,5.099104881E0
2.810198120E-1,-3.068196774E0,7.573882103E0,5.108676434E0
2.833730410E-1,-3.068196774E0,7.559525013E0,5.113461971E0
2.857263230E-1,-3.072982550E0,7.573882103E0,5.108676434E0
2.880795520E-1,-3.058027267E0,7.564310551E0,5.094917774E0
2.904327810E-1,-3.062813044E0,7.569096088E0,5.099104881E0
2.927860100E-1,-3.044268608E0,7.593024254E0,5.089533806E0
2.951392390E-1,-3.044268608E0,7.583453178E0,5.094917774E0
2.974924690E-1,-3.029313564E0,7.560122967E0,5.090131760E0
2.998456980E-1,-3.001197815E0,7.569694519E0,5.095515728E0
3.021989270E-1,-2.958725214E0,7.541578770E0,5.115256786E0
3.045521560E-1,-2.920439959E0,7.508079052E0,5.102096081E0
3.069054370E-1,-2.896511793E0,7.484150887E0,5.116453171E0
3.092586660E-1,-2.848655462E0,7.451249599E0,5.103292465E0
3.116118960E-1,-2.810968399E0,7.427919865E0,5.142175674E0
3.139651250E-1,-2.791825771E0,7.447062492E0,5.113461971E0
3.163183540E-1,-2.758326292E0,7.432705402E0,5.118845940E0
3.186715830E-1,-2.748754978E0,7.423133850E0,5.105087280E0
3.210248120E-1,-2.726023197E0,7.442874908E0,5.133800983E0
3.233780410E-1,-2.721237659E0,7.466803074E0,5.119443893E0
3.257312710E-1,-2.706282377E0,7.452445984E0,5.090730190E0
3.280845000E-1,-2.706880569E0,7.490731239E0,5.105087280E0
3.304377810E-1,-2.706282377E0,7.481160164E0,5.085944653E0
3.327910100E-1,-2.678166628E0,7.495516777E0,5.081159115E0
3.351442390E-1,-2.688336134E0,7.514659405E0,5.105087280E0
3.374974690E-1,-2.659622431E0,7.543971539E0,5.081159115E0
3.398506980E-1,-2.650649309E0,7.549355507E0,5.096114159E0
3.422039270E-1,-2.622533560E0,7.573283672E0,5.100899696E0
3.445571560E-1,-2.590230465E0,7.626523972E0,5.134399414E0
3.469103850E-1,-2.581257343E0,7.626523972E0,5.158925533E0
3.492636140E-1,-2.577069998E0,7.645666599E0,5.167898655E0
3.516168960E-1,-2.572284460E0,7.660023689E0,5.158327579E0
3.539701250E-1,-2.591426849E0,7.683951855E0,5.177470207E0
3.563233540E-1,-2.629113913E0,7.673782349E0,5.162514687E0
3.586765830E-1,-2.662015200E0,7.683353424E0,5.157131195E0
3.610298120E-1,-2.705085993E0,7.706683636E0,5.141577721E0
3.633830410E-1,-2.719442844E0,7.725826263E0,5.132006168E0
3.657362710E-1,-2.729014158E0,7.725826263E0,5.141577721E0
3.680895000E-1,-2.729014158E0,7.744968891E0,5.145765305E0
3.704427290E-1,-2.739183664E0,7.764111042E0,5.184050083E0
3.727960100E-1,-2.715255499E0,7.744968891E0,5.170291424E0
3.751492390E-1,-2.710469961E0,7.721040249E0,5.170291424E0
3.775024690E-1,-2.715853691E0,7.744968891E0,5.213362217E0
3.798556980E-1,-2.725425005E0,7.759325504E0,5.218147755E0
3.822089270E-1,-2.740978241E0,7.778468132E0,5.260620594E0
3.845621560E-1,-2.742174864E0,7.802994728E0,5.318048477E0
3.869153850E-1,-2.760719061E0,7.802994728E0,5.322834015E0
3.892686140E-1,-2.774477959E0,7.811967850E0,5.293521881E0
3.916218440E-1,-2.803191662E0,7.788039684E0,5.293521881E0
3.939751250E-1,-2.821137905E0,7.763513088E0,5.278566837E0
3.963283540E-1,-2.854637384E0,7.749155998E0,5.278566837E0
3.986815830E-1,-2.872583628E0,7.719843864E0,5.259424210E0
4.010348120E-1,-2.867797852E0,7.715058327E0,5.240281582E0
4.033880410E-1,-2.858226538E0,7.725227833E0,5.249852657E0
4.057412710E-1,-2.839084148E0,7.696514130E0,5.226522923E0
4.080945000E-1,-2.796013355E0,7.691728592E0,5.222335339E0
4.104477290E-1,-2.757129908E0,7.686942577E0,5.175076962E0
4.128009580E-1,-2.690729141E0,7.663612843E0,5.156532764E0
4.151541870E-1,-2.586043119E0,7.645666599E0,5.139184952E0
4.175074690E-1,-2.499901533E0,7.631907940E0,5.106881618E0
4.198606980E-1,-2.399402857E0,7.575676441E0,5.094319344E0
4.222139270E-1,-2.303689957E0,7.499105930E0,5.091926575E0
4.245671560E-1,-2.203191519E0,7.452445984E0,5.098506927E0
4.269203850E-1,-2.098505497E0,7.372286797E0,5.119443893E0
4.292736140E-1,-2.014158487E0,7.349554539E0,5.193023205E0
4.316268440E-1,-1.938784599E0,7.345965385E0,5.213362217E0
4.339800730E-1,-1.858624935E0,7.346563816E0,5.243272781E0
4.363333020E-1,-1.755135417E0,7.405188084E0,5.244469166E0
4.386865310E-1,-1.652842283E0,7.559525013E0,5.268397331E0
4.410398120E-1,-1.368096352E0,7.894520283E0,5.624927998E0
4.433930410E-1,-7.920243144E-1,8.449056625E0,6.306283951E0
4.457395520E-1,-6.035895348E-1,8.411369324E0,6.102894306E0
4.480860620E-1,-5.072783828E-1,8.219346046E0,5.836692810E0
4.504390830E-1,-4.169493318E-1,8.056633949E0,5.632704735E0
4.528391350E-1,8.973085321E-3,8.024929047E0,6.018547058E0
4.552391870E-1,2.063809484E-1,7.840083599E0,5.955137253E0
4.576395520E-1,2.123630047E-1,7.411767960E0,5.545964718E0
4.600398640E-1,3.326023519E-1,7.221538544E0,5.558526993E0
4.624401250E-1,4.809573591E-1,7.055835724E0,5.581258774E0
4.648403850E-1,4.402793646E-1,7.068996429E0,5.450850010E0
4.672406460E-1,2.979064286E-1,7.258029461E0,5.322834015E0
4.696409060E-1,7.657032460E-2,7.441080093E0,5.126622677E0
4.720411660E-1,-1.938186288E-1,7.710272789E0,4.919643402E0
4.744414270E-1,-4.935196638E-1,7.993224144E0,4.811966419E0
4.768416870E-1,-7.256234884E-1,8.243273735E0,4.643272400E0
4.792419480E-1,-9.098708034E-1,8.474779129E0,4.481158733E0
4.816422080E-1,-1.098903775E0,8.639286041E0,4.313661098E0
4.840425210E-1,-1.226321578E0,8.748159409E0,4.201198578E0
4.864427810E-1,-1.325025558E0,8.794221878E0,4.127020836E0
4.888430410E-1,-1.405783296E0,8.841479301E0,4.111467361E0
4.912433020E-1,-1.467398524E0,8.840881348E0,4.095914364E0
4.936435620E-1,-1.470987678E0,8.773882866E0,4.082155228E0
4.960438230E-1,-1.455434322E0,8.711071014E0,4.030111313E0
4.984440830E-1,-1.421934843E0,8.682954788E0,4.021138668E0
5.008443440E-1,-1.383649707E0,8.615956306E0,4.022335052E0
5.032446560E-1,-1.330409408E0,8.553742409E0,3.994817495E0
5.056448640E-1,-1.273579836E0,8.497511864E0,4.029513359E0
5.080451770E-1,-1.192822099E0,8.459824562E0,4.064807415E0
5.104454370E-1,-1.116251707E0,8.456234932E0,4.065405846E0
5.128456980E-1,-1.040877819E0,8.480761528E0,4.057030678E0
5.152459580E-1,-9.601200819E-1,8.505288124E0,4.043870449E0
5.176462190E-1,-9.044869542E-1,8.587242126E0,4.039084435E0
5.200464790E-1,-8.189435601E-1,8.626125336E0,4.025325775E0
5.224467390E-1,-7.441678643E-1,8.689535141E0,4.026522160E0
5.248470000E-1,-7.016952634E-1,8.732605934E0,4.021736622E0
5.272473120E-1,-6.592226624E-1,8.737990379E0,4.012763500E0
5.296475730E-1,-5.970092416E-1,8.733802795E0,3.999004841E0
5.320478330E-1,-5.641079545E-1,8.720044136E0,4.024129391E0
5.344480940E-1,-5.306084156E-1,8.705686569E0,4.024727821E0
5.368483540E-1,-5.168496966E-1,8.687142372E0,4.043870449E0
5.392486140E-1,-5.264210105E-1,8.687142372E0,4.053441525E0
5.416488750E-1,-5.126622319E-1,8.701499939E0,4.086941242E0
5.440491350E-1,-5.515456200E-1,8.720642090E0,4.124628067E0
5.464493960E-1,-5.808576941E-1,8.754141808E0,4.152743816E0
5.488497080E-1,-6.197410822E-1,8.810971260E0,4.176073551E0
5.512499690E-1,-6.586244106E-1,8.854042053E0,4.198805332E0
5.536502290E-1,-6.879364848E-1,8.891729355E0,4.236492634E0
5.560504890E-1,-7.172485590E-1,8.944371223E0,4.259822369E0
5.584507500E-1,-7.519445419E-1,9.006584167E0,4.311268330E0
5.608510100E-1,-7.531409264E-1,9.054440498E0,4.363910198E0
5.632512710E-1,-7.585247755E-1,9.078967094E0,4.402195454E0
5.656515310E-1,-7.549355626E-1,9.074181557E0,4.464408875E0
5.680517910E-1,-7.226324677E-1,9.069993973E0,4.517649174E0
5.704521040E-1,-6.849454641E-1,9.056235313E0,4.542175770E0
5.728209580E-1,-6.711867452E-1,9.032905579E0,4.595416069E0
5.751741870E-1,-6.484549642E-1,9.014361382E0,4.677370071E0
5.775274160E-1,-6.209374666E-1,8.982057571E0,4.759324074E0
5.798806460E-1,-5.790630579E-1,8.939585686E0,4.817948341E0
5.822338750E-1,-5.940182209E-1,8.944371223E0,4.875974178E0
5.845871040E-1,-6.041877270E-1,8.935398102E0,4.923830986E0
5.869403330E-1,-6.239284873E-1,8.940183640E0,4.966303349E0
5.892935620E-1,-6.526423693E-1,8.939585686E0,4.971088886E0
