"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.590418041E0,1.527256966E0,1.057101250E0,4.367465973E-1
1.609243927E0,1.360198259E0,9.077968597E-1,2.407417297E-1
1.628069812E0,1.083176136E0,1.080835342E0,1.385209560E-1
1.646895698E0,1.166903734E0,7.689437866E-1,-1.091090441E-1
1.665721583E0,1.260240793E0,-2.122316360E-1,-6.298341751E-1
1.684547468E0,1.191563964E0,-8.781032562E-1,-6.775612831E-1
1.703373354E0,1.177367926E0,-5.193614960E-1,-6.078658104E-1
1.722199239E0,8.238096833E-1,2.611522675E-1,-6.039123535E-1
1.741025125E0,5.109547973E-1,8.532867432E-1,-4.123300314E-1
1.759851010E0,3.091867566E-1,1.242811203E0,-4.900979996E-1
1.778676896E0,5.218636990E-2,1.462396622E0,-8.340221643E-1
1.797502781E0,-1.889089346E-1,1.488033295E0,-7.510156035E-1
1.816328666E0,-1.070541739E-1,1.163832664E0,-6.122685671E-1
1.835154552E0,-2.311391234E-1,7.639493942E-1,-3.401823044E-1
1.853980437E0,-2.712690830E-1,2.869520187E-1,-5.675402880E-1
1.872806323E0,-2.646890879E-1,2.961521149E-1,-7.145293355E-1
1.891632208E0,-8.789110184E-2,1.523160934E-1,-9.423759580E-1
1.910458093E0,4.320865870E-2,2.562999725E-1,-9.935171604E-1
1.929283979E0,1.425273716E-1,2.025375366E-1,-1.104135275E0
1.948109864E0,5.386260152E-2,1.012802124E-3,-1.330683112E0
1.966935750E0,-8.405503631E-2,-1.911039352E-1,-1.457829833E0
1.985761687E0,-5.656865239E-2,-1.963987350E-1,-1.673017502E0
2.004587573E0,-1.073867679E-1,-1.661128998E-1,-1.887545228E0
2.023413458E0,-3.016113639E-1,-1.633548737E-2,-1.754770279E0
2.042239343E0,-4.285000563E-1,3.559236526E-1,-1.562251806E0
2.061065229E0,-6.040432453E-1,5.499496460E-1,-1.709235072E0
2.079891114E0,-9.163571000E-1,6.017694473E-1,-1.619553089E0
2.098717000E0,-9.755407572E-1,5.785207748E-1,-1.375269771E0
2.117542885E0,-1.010624766E0,3.759670258E-1,-1.269057155E0
2.136368771E0,-1.077033281E0,6.344890594E-2,-1.090620875E0
2.155194656E0,-1.096888304E0,-2.098083496E-2,-6.885966063E-1
2.174020541E0,-1.171872139E0,-7.637977600E-2,-5.397760868E-1
2.192846427E0,-1.396124005E0,-2.508754730E-1,-5.261571407E-1
2.211672312E0,-1.460862994E0,-6.077947617E-1,-3.978369236E-1
2.230498198E0,-1.488587141E0,-1.084425926E0,2.135515213E-2
2.249324083E0,-1.457862139E0,-1.313364983E0,2.354874611E-1
2.268150021E0,-1.585821986E0,-6.455268860E-1,5.577166080E-1
2.286975906E0,-1.604414821E0,1.577043533E-1,8.572804928E-1
2.305801791E0,-1.673316598E0,6.898736954E-1,1.008927345E0
2.324627677E0,-1.727939010E0,4.477720261E-1,1.077029467E0
2.343453562E0,-1.579536796E0,-4.531421661E-1,1.161592722E0
2.362279448E0,-1.245322824E0,-1.519709587E0,1.267965078E0
2.381105333E0,-9.888966084E-1,-1.972596169E0,1.398211956E0
2.399931218E0,-8.266596794E-1,-1.779173851E0,1.173902750E0
2.418757104E0,-8.263623714E-1,-1.209946632E0,7.046604156E-1
2.437582989E0,-9.297665358E-1,-2.814378738E-1,4.174559116E-1
2.456408875E0,-1.114997864E0,1.010669708E0,2.184998989E-1
2.475234812E0,-1.306064129E0,1.953867912E0,-7.273769379E-2
2.494060698E0,-1.285995483E0,2.094275475E0,-3.861114979E-1
2.512886583E0,-8.476806879E-1,1.148765564E0,-4.899206161E-1
2.531712468E0,-9.738826752E-2,-1.784563065E-1,-4.168503284E-1
2.550538354E0,6.461090446E-1,-8.403282166E-1,-7.280941010E-1
2.569364239E0,1.251186848E0,-4.909086227E-1,-9.389004707E-1
2.588190125E0,1.910971403E0,1.290569305E-1,-1.095093727E0
2.607016062E0,2.169616461E0,6.995449066E-1,-1.317375660E0
2.625841948E0,1.886046648E0,9.437828064E-1,-1.693864346E0
2.644667833E0,1.450766563E0,5.746421814E-1,-2.020642281E0
2.663493718E0,1.212887526E0,-1.624832153E-1,-2.078210354E0
2.682319604E0,1.153580308E0,-6.030979156E-1,-1.829828978E0
2.701145489E0,1.054494739E0,-6.863775253E-1,-1.580301881E0
2.719971375E0,6.734638214E-1,-4.796733856E-1,-1.437486410E0
2.738797312E0,1.216713190E-1,-4.845714569E-2,-1.463534832E0
2.757716896E0,-5.873127580E-1,5.572843552E-1,-1.550012350E0
2.776919031E0,-1.337652564E0,1.122902870E0,-1.476006627E0
2.796121166E0,-1.840681076E0,1.159112930E0,-1.301422596E0
2.815323302E0,-2.299872398E0,6.578264236E-1,-1.070393801E0
2.834525437E0,-2.560890913E0,2.192497253E-2,-6.603815556E-1
2.853727625E0,-2.512313843E0,-5.048418045E-1,-2.885296345E-1
2.872929760E0,-2.172941923E0,-1.053528786E0,2.734806538E-1
2.891757677E0,-1.507475972E0,-1.858127594E0,6.912279129E-1
2.910583562E0,-9.972524643E-1,-2.162019253E0,1.057893276E0
2.929409448E0,-9.260609150E-1,-1.327246666E0,1.382424593E0
2.948235333E0,-1.166244745E0,8.739948273E-2,1.502727509E0
2.967061218E0,-1.429231167E0,1.197770119E0,1.677351236E0
2.985887156E0,-1.209225893E0,1.095740318E0,1.943321943E0
3.004713041E0,-7.616288662E-1,4.336528778E-1,2.160510778E0
3.023538927E0,-5.936048031E-1,-1.749811172E-1,2.174081087E0
3.042364812E0,-6.512770653E-1,-2.506141663E-1,2.295057774E0
