"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.530277660E0,1.543800831E-1,6.482172012E-2,-2.025699615E-1
1.549102244E0,1.105444431E-1,2.005043030E-1,-1.119995117E-1
1.567926879E0,9.116363525E-2,2.320690155E-1,-2.347259521E-1
1.586751462E0,3.094305992E-1,3.127717972E-2,-2.883367538E-1
1.605576098E0,3.331367970E-1,-1.288080215E-1,2.514362335E-2
1.624400681E0,-1.455209255E-1,4.057860374E-1,4.593534470E-1
1.643225317E0,-2.682337761E-1,2.244219780E-1,3.680443764E-1
1.662049900E0,-2.362401485E-1,2.068376541E-2,7.660293579E-2
1.680874535E0,1.102638245E-2,8.793449402E-2,-3.828430176E-2
1.699699119E0,4.801969528E-1,3.031530380E-1,3.164029121E-1
1.718523754E0,8.304145336E-1,5.052113533E-1,5.747590065E-1
1.737348337E0,1.014034510E0,5.442085266E-1,5.281853676E-1
1.756172973E0,9.456763268E-1,4.753780365E-1,2.353935242E-1
1.774997556E0,7.622275352E-1,3.803558350E-1,-2.305269241E-2
1.793822192E0,6.532700062E-1,3.847718239E-1,2.425146103E-2
1.812646775E0,4.750998020E-1,3.896203041E-1,2.474822998E-1
1.831471410E0,2.051227093E-1,4.462814331E-1,3.345541954E-1
1.850295994E0,-1.311507225E-1,3.509593010E-1,2.245807648E-1
1.869120629E0,-5.648281574E-1,3.951301575E-1,4.891014099E-2
1.887945212E0,-7.122688293E-1,1.666111946E-1,-3.362798691E-2
1.906769848E0,-6.826672554E-1,1.502170563E-1,-3.963708878E-2
1.925594483E0,-5.894272327E-1,1.174759865E-1,-2.325391769E-2
1.944419067E0,-4.538342953E-1,7.179832458E-2,-8.573055267E-2
1.963243702E0,-3.190112114E-1,2.416224480E-1,-1.597008705E-1
1.982068285E0,-9.823250771E-2,2.697949409E-1,-3.242754936E-1
2.000892921E0,8.608675003E-2,4.089326859E-1,-5.385279655E-1
2.019717556E0,4.434218407E-1,4.387321472E-1,-8.647632599E-1
2.038542139E0,7.226749659E-1,5.299301147E-1,-1.003874779E0
2.057366775E0,1.089700341E0,4.286255836E-1,-1.168823719E0
2.076191358E0,1.353472471E0,3.675541878E-1,-1.387372971E0
2.095015994E0,1.520609379E0,3.532133102E-1,-1.535824299E0
2.113840629E0,1.610421658E0,1.145973206E-1,-1.763613939E0
2.132665212E0,1.529929042E0,1.150431633E-1,-1.918204546E0
2.151489848E0,1.240429640E0,2.756843567E-1,-2.197502136E0
2.170314431E0,7.419536114E-1,3.891677856E-1,-2.472065210E0
2.189139067E0,4.475015402E-1,1.746673584E-1,-2.572590113E0
2.207963702E0,2.552208900E-1,1.670956612E-1,-2.703104973E0
2.226788285E0,-1.196602583E-1,6.818661690E-1,-2.786868095E0
2.245612921E0,-1.014479399E0,1.686698437E0,-2.608986139E0
2.264437556E0,-1.537709832E0,2.107995033E0,-2.652336597E0
2.283262139E0,-2.009795427E0,1.171485901E0,-2.904916286E0
2.302086775E0,-2.638092995E0,3.387813568E-1,-2.979441643E0
2.320911358E0,-2.897049665E0,9.994506836E-4,-2.277202606E0
2.339735994E0,-3.504853725E0,-1.377010345E-1,-1.514417410E0
2.358560629E0,-3.827439785E0,-2.331142426E-1,-9.202487469E-1
2.377385212E0,-3.918214798E0,2.158498764E-1,-3.983497620E-3
2.396209848E0,-4.047180176E0,7.017955780E-1,9.847898483E-1
2.415034483E0,-4.123534203E0,6.919231415E-1,1.984813690E0
2.433859067E0,-3.650126696E0,8.224754333E-1,2.113225937E0
2.452683702E0,-3.095672846E0,1.027371407E0,2.850728035E0
2.471508337E0,-1.921285391E0,1.281533241E0,3.577652454E0
2.490332921E0,-1.055325031E0,7.720975876E-1,3.033441067E0
2.509284067E0,-6.940953732E-1,7.714605331E-1,1.296282768E0
2.528484952E0,-2.944710255E-1,7.919197083E-1,-3.413376808E-1
2.547685785E0,-1.435112953E-1,7.819309235E-1,-9.593408108E-1
2.566886671E0,3.794469833E-1,6.390600204E-1,-1.080732822E0
2.586087504E0,1.852628946E0,4.282574654E-1,-9.531354904E-1
2.605288389E0,3.036627531E0,6.461939812E-1,4.379687309E-1
2.624458337E0,2.929845095E0,-1.764459610E-1,4.835386276E-1
2.643282973E0,1.684436917E0,2.551522255E-1,8.207478523E-1
2.662107556E0,5.328342915E-1,1.066110611E0,7.792615891E-1
2.680932192E0,-4.007685184E-1,2.821602821E-1,-9.726061821E-1
2.699756827E0,-1.233164787E0,-3.485388756E-1,-1.751161337E0
2.718581410E0,-1.339747667E0,-8.818144798E-1,-2.224690199E0
2.737406046E0,-1.086872101E0,-1.021015167E0,-2.406287909E0
2.756230681E0,-5.510511398E-1,-1.071655750E0,-2.288800955E0
2.775055264E0,2.707202435E-1,-1.241083622E0,-2.277901173E0
2.793879900E0,7.859818935E-1,-6.027040482E-1,-1.980693340E0
2.812704535E0,1.176350474E0,-7.402610779E-2,-1.713815928E0
2.831529119E0,1.361425042E0,-1.496362686E-1,-1.622319460E0
2.850353754E0,1.146230698E0,2.002120018E-1,-1.591083765E0
2.869178389E0,1.323605418E0,7.324581146E-1,-1.619049311E0
2.888003025E0,1.815022826E0,1.043112278E0,-8.327612877E-1
2.906827608E0,2.298780680E0,1.097529411E0,-5.083322525E-2
2.925652244E0,2.288909912E0,9.154863358E-1,4.478092194E-1
2.944476879E0,2.026331425E0,7.505464554E-1,4.445304871E-1
2.963301462E0,1.612892032E0,7.995977402E-1,4.219861031E-1
2.982126098E0,1.602818608E0,1.132609367E0,6.328654289E-1
3.000950733E0,1.263170838E0,1.195795059E0,1.004210949E0
3.019775369E0,9.969589710E-1,1.195543289E0,1.054414749E0
3.038599952E0,9.285395145E-1,8.636274338E-1,1.018710613E0
3.057424587E0,8.927030563E-1,5.899448395E-1,6.726980209E-1
3.076249223E0,9.120235443E-1,4.665517807E-1,6.382913589E-1
3.095073858E0,8.404049873E-1,3.453884125E-1,5.305213928E-1
3.113898494E0,4.918031693E-1,4.100856781E-1,2.154798508E-1
3.132723077E0,1.471166611E-1,3.790769577E-1,-8.322286606E-2
3.151547712E0,2.167890072E-1,1.760063171E-1,-4.498767853E-1
3.170372348E0,2.096607685E-1,-8.349323273E-2,-5.094206333E-1
3.189196983E0,2.470648289E-1,-3.831834793E-1,-5.527505875E-1
3.208021567E0,3.480076790E-1,-4.360074997E-1,-5.968499184E-1
3.226846202E0,4.203455448E-1,1.374263763E-1,-5.166008472E-1
3.245670837E0,4.007902145E-1,5.863065720E-1,6.057024002E-3
3.264495473E0,3.275783062E-1,4.516868591E-1,4.594025612E-1
3.283320108E0,4.246284962E-1,-1.740789413E-1,1.323604584E-1
3.302144692E0,3.981335163E-1,-5.234732628E-1,9.491229057E-2
3.320969327E0,2.032055855E-1,-3.106460571E-1,8.588359356E-1
3.339793962E0,2.303168774E-1,-4.482860565E-1,1.470203400E0
3.358618598E0,7.477538586E-1,-3.790893555E-1,1.413976431E0
3.377443233E0,1.053878307E0,-2.081270218E-1,2.420104742E0
3.396267817E0,6.882820129E-1,7.307958603E-1,4.554317951E0
3.415092452E0,-5.145592690E-1,1.120925903E0,4.224368095E0
3.433917087E0,-1.296231508E0,5.585298538E-1,2.112072945E0
3.452741723E0,-1.330595016E0,3.497390747E-1,9.571220875E-1
3.471566358E0,-1.185730696E0,8.183984756E-1,1.692861557E0
3.490390994E0,-1.272484064E0,1.244083405E0,2.571089745E0
3.509215577E0,-1.466793776E0,1.267191887E0,2.267083645E0
3.528040212E0,-1.619398117E0,1.315901756E0,1.162100315E0
3.546864848E0,-1.345291018E0,1.367694855E0,3.033037186E-1
3.565689483E0,-1.159667373E0,1.487964630E0,-9.309864044E-2
3.584514119E0,-8.960180283E-1,1.210219383E0,6.303787231E-3
3.603338754E0,-4.864839315E-1,1.450010300E0,5.151681900E-1
3.622163337E0,-3.969436884E-1,1.659904480E0,8.648734093E-1
3.640987973E0,-9.457239509E-1,1.701365948E0,3.558092117E-1
3.659812608E0,-2.206120491E0,1.633166790E0,-6.037688255E-1
3.678637244E0,-3.528473854E0,1.007005215E0,-2.230767727E0
3.697461879E0,-3.661224842E0,3.113927841E-1,-2.964852571E0
3.716286514E0,-2.955398560E0,1.277999878E-1,-2.347289562E0
3.735111150E0,-2.169562340E0,4.599237442E-2,-1.958737850E0
3.753935785E0,-1.436243296E0,2.699713707E-1,-2.544947624E0
3.772760369E0,-4.020539522E-1,2.968850136E-1,-2.814305305E0
3.791571879E0,1.002010942E0,6.841764450E-1,-2.595265865E0
3.810409639E0,2.498316526E0,9.860029221E-1,-1.509224415E0
3.829234275E0,3.761044264E0,1.471723080E0,-5.460615158E-1
3.848058910E0,4.428535461E0,1.960117817E0,9.012460709E-2
3.866883546E0,4.279984951E0,2.197667122E0,8.033542633E-1
3.885708181E0,3.151993513E0,1.635044098E0,7.885885239E-2
3.904519692E0,1.679559588E0,7.813763618E-1,-7.215270996E-1
3.923357452E0,4.432172775E-1,3.877029419E-1,-1.109439373E0
3.942182035E0,-4.317870140E-1,6.874890327E-1,-9.698324203E-1
3.961006671E0,-7.271685600E-1,1.000688553E0,-7.767300606E-1
3.979831306E0,-3.439304829E-1,8.166298866E-1,-7.406334877E-1
3.998655942E0,4.280745983E-1,3.172502518E-1,-4.582576752E-1
4.017480577E0,1.123355627E0,2.234575748E-1,7.108592987E-2
4.036305212E0,1.549285173E0,4.112768173E-2,3.926725388E-1
4.055129848E0,1.612525225E0,3.536670208E-1,3.397626877E-1
4.073954483E0,1.365816593E0,5.414745808E-1,2.173337936E-1
4.092779119E0,1.120851278E0,3.477592468E-1,-1.553668976E-1
4.111603754E0,9.803621769E-1,-1.970624924E-2,-5.470237732E-1
4.130428389E0,8.632376194E-1,-1.020827293E-1,-6.813364029E-1
4.149253025E0,7.829360962E-1,-8.556509018E-2,-7.357583046E-1
4.168077660E0,4.676547050E-1,-1.375930309E-1,-8.795127869E-1
4.186902296E0,1.781382561E-1,-1.545088291E-1,-9.372658730E-1
4.205726931E0,7.718682289E-2,-3.952507973E-1,-8.351869583E-1
4.224551567E0,6.921052933E-2,-5.687246323E-1,-7.481241226E-1
4.243376202E0,3.181505203E-2,-6.584546566E-1,-7.404651642E-1
4.262200837E0,-7.993483543E-2,-5.310584307E-1,-6.753578186E-1
4.281025421E0,-3.060464859E-1,-3.999094963E-1,-6.301975250E-1
4.299850056E0,-7.077875137E-1,-2.929103374E-1,-7.123384476E-1
4.318674744E0,-1.071983576E0,-3.727502823E-1,-8.992719650E-1
4.337499379E0,-1.275195599E0,-5.156525373E-1,-8.647508621E-1
4.356323962E0,-1.363685131E0,-5.964906216E-1,-5.518054962E-1
4.375148650E0,-1.429427624E0,-5.498553514E-1,-1.854324341E-1
4.393973285E0,-1.396753073E0,-5.825995207E-1,9.238052368E-2
4.412797921E0,-1.448460579E0,-6.476991177E-1,2.197036743E-1
4.431622556E0,-1.625424862E0,-8.148509264E-1,1.616573334E-1
4.450447192E0,-1.840912819E0,-8.850053549E-1,-1.980876923E-2
4.469271827E0,-1.965335608E0,-9.574475288E-1,-6.363964081E-2
4.488096462E0,-1.913728952E0,-9.050842524E-1,1.371088028E-1
4.506921098E0,-1.694141626E0,-8.351489305E-1,2.622289658E-1
4.525745733E0,-1.433894396E0,-4.484561682E-1,2.203893661E-1
4.544570369E0,-1.284216404E0,-7.813334465E-2,2.846164703E-1
4.563395004E0,-1.144051552E0,-2.012372017E-2,8.476352692E-2
4.582219639E0,-8.750948906E-1,-1.661787033E-1,-1.939592361E-1
4.601044275E0,-5.082290173E-1,6.094694138E-3,-5.410976410E-1
4.619868910E0,-2.533798218E-1,2.647389174E-1,-7.529678345E-1
4.638693546E0,-1.034469604E-1,4.066900015E-1,-7.381811142E-1
4.657518181E0,5.703353882E-2,4.301354885E-1,-6.086969376E-1
4.676342817E0,2.637524605E-1,3.400268555E-1,-3.808317184E-1
4.695167452E0,2.379953861E-1,1.712585688E-1,-1.951045990E-1
4.713992087E0,-1.406002045E-2,-3.472069502E-1,-2.997541428E-1
4.732816723E0,-4.582428932E-1,-7.664891481E-1,-5.581512451E-1
4.751641358E0,-9.621005058E-1,-8.029876351E-1,-7.796020508E-1
4.770466046E0,-1.302617311E0,-7.882525325E-1,-9.604578018E-1
4.789290681E0,-1.416667938E0,-6.143420935E-1,-1.119565964E0
4.808115317E0,-1.344575167E0,-2.867962122E-1,-1.177103519E0
4.826939952E0,-1.153837681E0,-3.079092503E-2,-9.937267303E-1
4.845764587E0,-9.557111263E-1,6.871879101E-2,-7.868957520E-1
4.864589223E0,-8.450210094E-1,1.684837341E-1,-6.047973633E-1
4.883413858E0,-8.071765900E-1,1.753547192E-1,-4.203462601E-1
4.902238494E0,-7.501080036E-1,1.630488634E-1,-2.374124527E-1
4.921063129E0,-7.000331879E-1,2.126793861E-1,-2.627468109E-2
4.939887817E0,-6.624577045E-1,1.447480917E-1,1.776485443E-1
4.958712452E0,-5.257902145E-1,1.214264631E-1,3.260040283E-1
4.977537087E0,-3.179025650E-1,1.192792654E-1,5.479860306E-1
4.996361723E0,-9.943675995E-2,4.966461658E-2,6.551866531E-1
5.015186358E0,-1.428079605E-2,1.530493498E-1,6.990118027E-1
5.034010994E0,-1.400299072E-1,2.565071583E-1,5.747404099E-1
5.052835629E0,-1.836581230E-1,2.002713680E-1,4.364891052E-1
5.071660264E0,-2.394714355E-1,1.789321899E-1,2.071599960E-1
5.090484900E0,-2.916407585E-1,1.758334637E-1,-1.947593689E-1
5.109309587E0,-2.480974197E-1,2.352977991E-1,-4.804210663E-1
5.128134223E0,-1.072707176E-1,3.753614426E-1,-5.712041855E-1
5.146958858E0,1.678149700E-1,4.675388336E-1,-4.281692505E-1
5.165783494E0,3.287796974E-1,6.442675591E-1,-3.564987183E-1
5.184608129E0,3.335194588E-1,6.396274567E-1,-3.716249466E-1
5.203432764E0,1.537916660E-1,4.421855211E-1,-4.770793915E-1
5.222257452E0,-5.737495422E-2,3.706807494E-1,-5.016355515E-1
5.241082087E0,-2.849702835E-1,5.147976875E-1,-4.905786514E-1
5.259906723E0,-5.171756744E-1,5.040254593E-1,-3.841657639E-1
5.278731358E0,-7.121639252E-1,5.606815219E-1,-1.931276321E-1
5.297555994E0,-7.795162201E-1,5.641264915E-1,-1.723365784E-1
5.316380681E0,-9.057621956E-1,5.656037927E-1,-2.364883423E-1
5.335205317E0,-1.026726246E0,5.131300688E-1,-3.787193298E-1
5.354029952E0,-1.030768871E0,4.110857248E-1,-6.512637138E-1
5.372854587E0,-1.039144516E0,3.306301832E-1,-1.218991756E0
5.391679223E0,-7.297859192E-1,2.410882115E-1,-1.917528629E0
5.410503910E0,-1.041688919E-1,2.157056332E-1,-2.299682140E0
5.429328546E0,5.680496693E-1,4.294074178E-1,-2.476346970E0
5.448153181E0,1.152237177E0,6.956891418E-1,-2.399650574E0
5.466977817E0,1.326300621E0,1.310618877E0,-2.029169559E0
5.485802504E0,1.501754522E0,2.009432793E0,-1.634147167E0
5.504627139E0,1.938361406E0,2.078758001E0,-1.110016346E0
5.523451775E0,2.540749073E0,1.877394319E0,-5.847263336E-1
5.542276410E0,3.176225662E0,1.517945170E0,5.434703827E-2
5.561101046E0,3.735185623E0,1.050152063E0,9.004631042E-1
5.579925733E0,4.014945984E0,1.291365027E0,2.009638786E0
5.598750369E0,3.859248161E0,1.491780758E0,2.681515694E0
5.617575004E0,3.771955252E0,1.280135393E0,3.168157578E0
5.636399692E0,3.541367292E0,1.263721704E0,3.561435699E0
5.655224327E0,2.873004675E0,1.678683043E0,3.739382744E0
5.674048962E0,2.019027233E0,2.533077002E0,3.520646095E0
5.692873598E0,1.309178829E0,2.875825405E0,3.256658554E0
5.711698285E0,9.595284462E-1,2.342922688E0,2.755021095E0
5.730522921E0,8.268661499E-1,1.543490410E0,2.086796761E0
