"event","experiment time","system time","system time text"
"START",0.000000000E0,1714759847.808,"2024-05-03 20:10:47.808 UTC+02:00"
"PAUSE",1.179083257E2,1714759965.717,"2024-05-03 20:12:45.717 UTC+02:00"
