"event","experiment time","system time","system time text"
"START",0.000000000E0,1714758292.879,"2024-05-03 19:44:52.879 UTC+02:00"
"PAUSE",1.805346924E2,1714758473.414,"2024-05-03 19:47:53.414 UTC+02:00"
