"event","experiment time","system time","system time text"
"START",0.000000000E0,1714759999.206,"2024-05-03 20:13:19.206 UTC+02:00"
"PAUSE",1.807528527E2,1714760179.959,"2024-05-03 20:16:19.959 UTC+02:00"
