"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.569995045E0,3.009958863E-1,-5.270767212E-2,-7.058132887E-1
1.588823431E0,-8.513799310E-1,2.377033234E-2,-2.043143988E0
1.607651764E0,-1.344514489E0,-3.675994873E-1,-1.949579954E0
1.626480150E0,-5.199541450E-1,-6.955556870E-1,-1.381601810E0
1.645308483E0,3.355259597E-1,-7.691574097E-1,-6.835957170E-1
1.664136816E0,6.523114443E-1,-7.321186066E-1,-1.584362984E-2
1.682965202E0,8.212426901E-1,-7.159290314E-1,1.133943796E-1
1.701793535E0,4.974140227E-1,-4.640684128E-1,3.871184587E-1
1.720621868E0,-2.208936810E-1,-5.168685913E-1,1.484937668E-1
1.739450254E0,-7.378178835E-1,-1.029619217E0,-5.835553408E-1
1.758278587E0,-1.007705569E0,-1.198129654E0,-8.391557932E-1
1.777106920E0,-5.811327100E-1,-1.008476257E0,-8.458627462E-1
1.795935306E0,1.050383002E-1,-7.008619308E-1,-7.673380375E-1
1.814763639E0,2.022679150E-2,-3.092479706E-2,-5.656697750E-1
1.833591973E0,-2.398374379E-1,3.766450882E-1,-4.979195595E-1
1.852420358E0,-3.253402114E-1,-1.881237030E-1,-4.097672701E-1
1.871248691E0,-5.889515281E-1,-8.818483353E-1,-4.284682274E-1
1.890077025E0,-1.107921481E0,-1.475703239E0,-4.860963821E-1
1.908905410E0,-1.589799523E0,-1.482906342E0,-3.535585403E-1
1.927733743E0,-1.839296579E0,-1.389268875E0,1.967370510E-2
1.946562077E0,-1.737121344E0,-1.024097443E0,8.831864595E-1
1.965390462E0,-1.445212960E0,-3.947601318E-1,1.889876723E0
1.984218795E0,-1.118280053E0,-9.415912628E-2,2.464213133E0
2.003047129E0,-5.868210793E-1,-8.467864990E-2,2.559762001E0
2.021875514E0,-3.251588345E-2,2.246913910E-1,2.514214754E0
2.040703848E0,4.587554932E-1,6.088294983E-1,2.435838223E0
