"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.588710080E0,4.871056080E-1,-3.355607986E-1,1.714044571E0
1.607538361E0,1.891169548E-1,-8.172969818E-1,1.709542751E0
1.626366590E0,-1.694746017E-1,-7.204265594E-1,1.656715393E0
1.645194819E0,-2.702960968E-1,-3.111958504E-1,1.504723549E0
1.664023100E0,-2.606091499E-1,1.263251305E-1,1.298883915E0
1.682851330E0,-2.699670792E-1,5.873813629E-1,1.020439625E0
1.701679611E0,-4.660444260E-1,9.456272125E-1,7.925171852E-1
1.720507840E0,-6.254091263E-1,9.084372520E-1,5.592036247E-1
1.739336069E0,-5.521931648E-1,7.573533058E-1,8.490090370E-1
1.758164350E0,-8.476400375E-1,3.138937950E-1,6.076250076E-1
1.776992580E0,-1.368978500E0,-5.963659286E-2,-6.102418900E-2
1.795820861E0,-1.546922207E0,-3.832545280E-1,-6.822514534E-1
1.814649090E0,-1.374072552E0,-1.892275810E-1,-9.173588753E-1
1.833477319E0,-9.763550758E-1,3.045082092E-2,-1.044727325E0
1.852305600E0,-4.177651405E-1,1.918053627E-1,-1.048641205E0
1.871133830E0,1.095085144E-1,4.006328583E-1,-7.896471024E-1
1.889962111E0,3.308763504E-1,2.321643829E-1,-5.729660988E-1
1.908790340E0,2.473540306E-1,1.323790550E-1,-5.738821030E-1
1.927618569E0,-6.145381927E-2,4.634904861E-2,-5.938010216E-1
1.946446850E0,-3.834285736E-1,-6.059408188E-2,-5.422143936E-1
1.965275080E0,-6.311206818E-1,-2.046165466E-1,-4.369273186E-1
1.984103361E0,-8.137860298E-1,-4.684836864E-1,-3.799638748E-1
2.002931590E0,-7.658271790E-1,-5.199024677E-1,-3.089814186E-1
2.021759871E0,-4.076781273E-1,-3.779695034E-1,-3.053159714E-1
2.040588100E0,9.897565842E-2,-1.886062622E-1,-1.136817932E-1
2.059416330E0,4.497246742E-1,-6.240630150E-2,-1.041183472E-1
2.078244611E0,4.620261192E-1,1.355338097E-2,-1.354837418E-2
2.097072840E0,3.872671127E-1,2.518868446E-2,3.535604477E-2
2.115901121E0,5.301790237E-1,-2.529668808E-2,2.914333344E-2
2.134729350E0,4.946274757E-1,-6.117272377E-2,-1.710705757E-1
2.153557580E0,4.309668541E-1,-2.061843872E-3,1.687908173E-2
2.172385861E0,2.559051514E-1,2.915041447E-1,2.414746284E-1
2.191214090E0,-3.704166412E-2,3.126156330E-1,2.245044708E-1
2.210042371E0,-1.886343956E-1,1.001558304E-1,-1.598992348E-1
2.228870600E0,2.551078796E-3,1.217858791E-1,-5.286421776E-1
2.247698882E0,3.392763138E-1,3.144910336E-1,-3.749814034E-1
2.266527111E0,7.174844742E-1,3.098938465E-1,9.574604034E-2
2.285355340E0,8.419027328E-1,3.183898926E-1,1.009869576E-1
2.304183621E0,5.889368057E-1,3.539636135E-1,-9.315919876E-2
2.323011850E0,2.873659134E-1,2.822513580E-1,-3.428411484E-1
2.341840132E0,7.682800293E-3,2.635002136E-1,-2.326178551E-1
2.360668361E0,-7.965278625E-2,2.499608994E-1,-2.762594223E-1
2.379496590E0,-2.374405861E-1,3.855628967E-1,-3.633861542E-1
2.398324871E0,-2.627377510E-1,4.810903072E-1,-4.954094887E-1
2.417153100E0,-1.723337173E-1,7.178771496E-1,-3.915805817E-1
2.435981382E0,-3.879055977E-1,7.710707188E-1,-4.808764458E-1
2.454809611E0,-6.829495430E-1,5.739390850E-1,-9.525384903E-1
2.473637840E0,-6.194510460E-1,5.269782543E-1,-8.838272095E-1
2.492466121E0,-2.838740349E-1,6.258206367E-1,-9.350671768E-1
2.511294350E0,6.815528870E-2,6.784422398E-1,-9.979176521E-1
2.530122632E0,3.772459030E-1,6.921386719E-1,-9.218664169E-1
2.548950861E0,4.605469704E-1,7.256805897E-1,-7.676558495E-1
2.567779142E0,2.791662216E-1,6.720507145E-1,-8.480572701E-1
2.586607371E0,3.353738785E-2,5.708231926E-1,-8.852005005E-1
2.605435600E0,-2.032527924E-1,4.380640984E-1,-6.614141464E-1
2.624263882E0,-4.219813347E-1,4.808537960E-1,-4.810028076E-1
2.643092111E0,-5.179295540E-1,4.589159489E-1,-3.534722328E-1
2.661920392E0,-5.696401596E-1,4.785920382E-1,-1.587905884E-1
2.680748621E0,-5.881347656E-1,6.141754389E-1,-1.259422302E-2
