"event","experiment time","system time","system time text"
"START",0.000000000E0,1714758662.806,"2024-05-03 19:51:02.806 UTC+02:00"
"PAUSE",1.893515864E2,1714758852.158,"2024-05-03 19:54:12.158 UTC+02:00"
