"event","experiment time","system time","system time text"
"START",0.000000000E0,1714759418.226,"2024-05-03 20:03:38.226 UTC+02:00"
"PAUSE",2.206297112E2,1714759638.855,"2024-05-03 20:07:18.855 UTC+02:00"
